"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"SAULO MOREIRA" "ARIQUEMES" 3113 49508 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.29 "TOTAL:49,52%"
"JUNIOR DONADON" "CORUMBIARA" 297 4711 "SUPLENTE" "DEPUTADO FEDERAL" 6.3 "TOTAL:55,32%"
"ANSELMO DE JESUS" "PRESIDENTE MÉDICI" 784 12419 "NÃO ELEITO" "DEPUTADO FEDERAL" 6.31 "TOTAL:52,4%"
"MARINHA RAUPP" "THEOBROMA" 389 6168 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.31 "TOTAL:66,1%"
"LAZINHO DA FETAGRO" "JARU" 1827 28841 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.33 "TOTAL:60,13%"
"VALDIVINO TUCURA" "PARECIS" 162 2554 "SUPLENTE" "DEPUTADO ESTADUAL" 6.34 "TOTAL:58,04%"
"NILTON CAPIXABA" "CORUMBIARA" 299 4711 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.35 "TOTAL:55,32%"
"COCÓ" "ESPIGÃO DO OESTE" 1077 16897 "SUPLENTE" "DEPUTADO ESTADUAL" 6.37 "TOTAL:74,13%"
"EUCLIDES MACIEL" "NOVA MAMORÉ" 857 13386 "SUPLENTE" "DEPUTADO ESTADUAL" 6.4 "TOTAL:46,71%"
"LUIZINHO GOEBEL" "NOVA UNIÃO" 276 4307 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.41 "TOTAL:51,15%"
"AECIO" "PARECIS" 164 2554 "SUPLENTE" "DEPUTADO FEDERAL" 6.42 "TOTAL:57,36%"
"JOSIAS CUSTÓDIO" "ROLIM DE MOURA" 1824 28425 "SUPLENTE" "DEPUTADO ESTADUAL" 6.42 "TOTAL:33,34%"
"ADEMAR RAUPP" "NOVO HORIZONTE DO OESTE" 381 5921 "SUPLENTE" "DEPUTADO ESTADUAL" 6.43 "TOTAL:36,97%"
"MARCOS ROGERIO" "SERINGUEIRAS" 448 6956 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.44 "TOTAL:64,33%"
"LEBRÃO" "CAMPO NOVO DE RONDÔNIA" 405 6273 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.46 "TOTAL:49,28%"
"CLEIDE ALMEIDA" "OURO PRETO DO OESTE" 1421 21953 "SUPLENTE" "DEPUTADO ESTADUAL" 6.47 "TOTAL:67,95%"
"VALDECI LOPES" "CACOAL" 2927 45235 "SUPLENTE" "DEPUTADO ESTADUAL" 6.47 "TOTAL:51,58%"
"NORONHA" "GUAJARÁ-MIRIM" 1399 21598 "SUPLENTE" "DEPUTADO ESTADUAL" 6.48 "TOTAL:58,21%"
"ANEDINO DA FARMÁCIA" "CEREJEIRAS" 665 10231 "SUPLENTE" "DEPUTADO ESTADUAL" 6.5 "TOTAL:64,63%"
"PROFESSORA DORANILDA 'DÓRA'" "GUAJARÁ-MIRIM" 1407 21598 "SUPLENTE" "DEPUTADO FEDERAL" 6.51 "TOTAL:49,17%"
"LAERTE GOMES" "SERINGUEIRAS" 455 6956 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.54 "TOTAL:46,7%"
"EXPEDITO NETTO" "ALTO ALEGRE DOS PARECIS" 432 6585 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 6.56 "TOTAL:56,39%"
"EZEQUIEL NEIVA" "CHUPINGUAIA" 255 3867 "SUPLENTE" "DEPUTADO ESTADUAL" 6.59 "TOTAL:44,45%"
"LINDOMAR GARÇON" "PORTO VELHO" 16562 250141 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 6.62 "TOTAL:38,37%"
"LUCIO MOSQUINI" "OURO PRETO DO OESTE" 1453 21953 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.62 "TOTAL:69,82%"
"LUIZ CLAUDIO" "SÃO MIGUEL DO GUAPORÉ" 778 11715 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.64 "TOTAL:53,29%"
"EDSON MARTINS" "NOVA UNIÃO" 287 4307 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.66 "TOTAL:51,15%"
"FATIMA CLEIDE" "SÃO FELIPE DO OESTE" 252 3784 "NÃO ELEITO" "DEPUTADO FEDERAL" 6.66 "TOTAL:50,18%"
"LAZINHO DA FETAGRO" "GOVERNADOR JORGE TEIXEIRA" 377 5651 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.67 "TOTAL:46,66%"
"MARINHA RAUPP" "MONTE NEGRO" 527 7903 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.67 "TOTAL:39,14%"
"EDSON MARTINS" "PRESIDENTE MÉDICI" 829 12419 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.68 "TOTAL:50,1%"
"ROSANGELA DONADON" "CABIXI" 255 3817 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.68 "TOTAL:56,95%"
"ADEMAR RAUPP" "ROLIM DE MOURA" 1903 28425 "SUPLENTE" "DEPUTADO ESTADUAL" 6.69 "TOTAL:33,34%"
"MARINHA RAUPP" "CACAULÂNDIA" 222 3297 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.73 "TOTAL:36,3%"
"MÁRCIO MATEUS" "SANTA LUZIA DO OESTE" 381 5655 "SUPLENTE" "DEPUTADO ESTADUAL" 6.74 "TOTAL:38,76%"
"ROSANGELA DONADON" "COLORADO DO OESTE" 730 10811 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.75 "TOTAL:63,31%"
"LUCIO MOSQUINI" "ALTA FLORESTA DO OESTE" 946 13945 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.78 "TOTAL:61,53%"
"LUCIO MOSQUINI" "CACAULÂNDIA" 225 3297 "ELEITO POR QP" "DEPUTADO FEDERAL" 6.82 "TOTAL:36,3%"
"LAERTE GOMES" "PRESIDENTE MÉDICI" 851 12419 "ELEITO POR QP" "DEPUTADO ESTADUAL" 6.85 "TOTAL:50,1%"
"GERALDO DA RONDONIA" "MONTE NEGRO" 544 7903 "SUPLENTE" "DEPUTADO ESTADUAL" 6.88 "TOTAL:48,65%"
"ADRIANO BOIADEIRO" "NOVO HORIZONTE DO OESTE" 409 5921 "SUPLENTE" "DEPUTADO ESTADUAL" 6.91 "TOTAL:36,97%"
"AMIR LANDO" "MONTE NEGRO" 547 7903 "SUPLENTE" "DEPUTADO FEDERAL" 6.92 "TOTAL:39,14%"
"FATIMA CLEIDE" "NOVA UNIÃO" 299 4307 "NÃO ELEITO" "DEPUTADO FEDERAL" 6.94 "TOTAL:63,4%"
"DR. ADEMIR" "PIMENTEIRAS DO OESTE" 101 1444 "SUPLENTE" "DEPUTADO ESTADUAL" 6.99 "TOTAL:47,58%"
"AMIR LANDO" "COLORADO DO OESTE" 757 10811 "SUPLENTE" "DEPUTADO FEDERAL" 7 "TOTAL:46,65%"
"VALDIVINO TUCURA" "SANTA LUZIA DO OESTE" 396 5655 "SUPLENTE" "DEPUTADO ESTADUAL" 7 "TOTAL:38,76%"
"ADELINO FOLLADOR" "CUJUBIM" 553 7882 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.02 "TOTAL:51,46%"
"ROSANGELA DONADON" "CEREJEIRAS" 719 10231 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.03 "TOTAL:64,63%"
"ROSANGELA DONADON" "CORUMBIARA" 331 4711 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.03 "TOTAL:50,33%"
"MARINHA RAUPP" "ESPIGÃO DO OESTE" 1194 16897 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.07 "TOTAL:76,7%"
"PROF. MARCIA REGINA" "TEIXEIRÓPOLIS" 227 3212 "SUPLENTE" "DEPUTADO ESTADUAL" 7.07 "TOTAL:57,54%"
"VANDERLEI GRAEBIN" "CORUMBIARA" 334 4711 "SUPLENTE" "DEPUTADO ESTADUAL" 7.09 "TOTAL:50,33%"
"EDSON MARTINS" "NOVA MAMORÉ" 951 13386 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.1 "TOTAL:46,71%"
"ERNAM AMORIM" "CUJUBIM" 561 7882 "SUPLENTE" "DEPUTADO ESTADUAL" 7.12 "TOTAL:51,46%"
"ADAILTON FURIA" "CACOAL" 3223 45235 "SUPLENTE" "DEPUTADO ESTADUAL" 7.13 "TOTAL:51,58%"
"VANDERLEI GRAEBIN" "CHUPINGUAIA" 276 3867 "SUPLENTE" "DEPUTADO ESTADUAL" 7.14 "TOTAL:44,45%"
"JEAN OLIVEIRA" "PARECIS" 183 2554 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 7.17 "TOTAL:58,04%"
"LINDOMAR GARÇON" "MINISTRO ANDREAZZA" 408 5693 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 7.17 "TOTAL:53,75%"
"ROBERTO" "CHUPINGUAIA" 280 3867 "SUPLENTE" "DEPUTADO ESTADUAL" 7.24 "TOTAL:44,45%"
"LINDOMAR GARÇON" "GOVERNADOR JORGE TEIXEIRA" 412 5651 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 7.29 "TOTAL:54,48%"
"ANSELMO DE JESUS" "MINISTRO ANDREAZZA" 419 5693 "NÃO ELEITO" "DEPUTADO FEDERAL" 7.36 "TOTAL:53,75%"
"AIRTON GURGACZ" "JI-PARANÁ" 4821 65328 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 7.38 "TOTAL:41,09%"
"ÉDIO VITÓRIA" "SÃO MIGUEL DO GUAPORÉ" 865 11715 "SUPLENTE" "DEPUTADO ESTADUAL" 7.38 "TOTAL:48,26%"
"GUILHERME MOREIRA MENDES" "GOVERNADOR JORGE TEIXEIRA" 418 5651 "SUPLENTE" "DEPUTADO FEDERAL" 7.4 "TOTAL:54,48%"
"JOÃO CLIMACO" "NOVA MAMORÉ" 992 13386 "SUPLENTE" "DEPUTADO ESTADUAL" 7.41 "TOTAL:46,71%"
"EXPEDITO NETTO" "TEIXEIRÓPOLIS" 239 3212 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 7.44 "TOTAL:70,39%"
"LUIZ CLAUDIO" "SÃO FELIPE DO OESTE" 282 3784 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.45 "TOTAL:50,18%"
"MARCOS ROGERIO" "MACHADINHO DO OESTE" 1293 17362 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.45 "TOTAL:62,69%"
"ANSELMO DE JESUS" "THEOBROMA" 460 6168 "NÃO ELEITO" "DEPUTADO FEDERAL" 7.46 "TOTAL:66,1%"
"LAZINHO DA FETAGRO" "THEOBROMA" 461 6168 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.47 "TOTAL:50,89%"
"EDSON MARTINS" "RIO CRESPO" 167 2232 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.48 "TOTAL:43,63%"
"LEBRÃO" "PIMENTEIRAS DO OESTE" 108 1444 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.48 "TOTAL:47,58%"
"AMIR LANDO" "CABIXI" 286 3817 "SUPLENTE" "DEPUTADO FEDERAL" 7.49 "TOTAL:48,61%"
"ANSELMO DE JESUS" "SANTA LUZIA DO OESTE" 426 5655 "NÃO ELEITO" "DEPUTADO FEDERAL" 7.53 "TOTAL:60,88%"
"FATIMA CLEIDE" "MIRANTE DA SERRA" 518 6874 "NÃO ELEITO" "DEPUTADO FEDERAL" 7.54 "TOTAL:56,97%"
"EXPEDITO NETTO" "NOVA UNIÃO" 326 4307 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 7.57 "TOTAL:63,4%"
"MARINHA RAUPP" "VALE DO PARAÍSO" 388 5128 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.57 "TOTAL:67,47%"
"BRITO" "SÃO FELIPE DO OESTE" 287 3784 "SUPLENTE" "DEPUTADO ESTADUAL" 7.58 "TOTAL:65,45%"
"LEBRÃO" "NOVA BRASILÂNDIA DO OESTE" 847 11173 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.58 "TOTAL:53,38%"
"NILTON CAPIXABA" "PRESIDENTE MÉDICI" 941 12419 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.58 "TOTAL:52,4%"
"MARCELINO TENORIO" "MIRANTE DA SERRA" 522 6874 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.59 "TOTAL:59,42%"
"LUIZINHO GOEBEL" "CEREJEIRAS" 779 10231 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.61 "TOTAL:64,63%"
"JEVERSON LIMA" "THEOBROMA" 471 6168 "SUPLENTE" "DEPUTADO FEDERAL" 7.64 "TOTAL:66,1%"
"LUCIO MOSQUINI" "COLORADO DO OESTE" 828 10811 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.66 "TOTAL:46,65%"
"SOLANGE PEREIRA" "JI-PARANÁ" 5003 65328 "SUPLENTE" "DEPUTADO ESTADUAL" 7.66 "TOTAL:41,09%"
"EXPEDITO NETTO" "ALVORADA DO OESTE" 717 9347 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 7.67 "TOTAL:56,91%"
"LEBRÃO" "SÃO MIGUEL DO GUAPORÉ" 898 11715 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.67 "TOTAL:48,26%"
"MARIANA CARVALHO" "PIMENTEIRAS DO OESTE" 111 1444 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.69 "TOTAL:50,49%"
"ALEX REDANO" "CAMPO NOVO DE RONDÔNIA" 483 6273 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 7.7 "TOTAL:49,28%"
"EXPEDITO NETTO" "MIRANTE DA SERRA" 529 6874 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 7.7 "TOTAL:56,97%"
"MARINHA RAUPP" "CANDEIAS DO JAMARI" 982 12569 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.81 "TOTAL:52,92%"
"MARINHA RAUPP" "MACHADINHO DO OESTE" 1357 17362 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.82 "TOTAL:62,69%"
"AMIR LANDO" "PIMENTEIRAS DO OESTE" 113 1444 "SUPLENTE" "DEPUTADO FEDERAL" 7.83 "TOTAL:50,49%"
"ANSELMO DE JESUS" "PARECIS" 200 2554 "NÃO ELEITO" "DEPUTADO FEDERAL" 7.83 "TOTAL:57,36%"
"LEBRÃO" "CASTANHEIRAS" 182 2306 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.89 "TOTAL:36,03%"
"LUCIO MOSQUINI" "PIMENTEIRAS DO OESTE" 114 1444 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.89 "TOTAL:50,49%"
"LUCIO MOSQUINI" "SANTA LUZIA DO OESTE" 447 5655 "ELEITO POR QP" "DEPUTADO FEDERAL" 7.9 "TOTAL:60,88%"
"DR. MURILO BORGES" "NOVO HORIZONTE DO OESTE" 470 5921 "SUPLENTE" "DEPUTADO ESTADUAL" 7.94 "TOTAL:36,97%"
"MÁRCIO MATEUS" "ALTO ALEGRE DOS PARECIS" 525 6585 "SUPLENTE" "DEPUTADO ESTADUAL" 7.97 "TOTAL:36,2%"
"SAULO MOREIRA" "RIO CRESPO" 178 2232 "ELEITO POR QP" "DEPUTADO ESTADUAL" 7.97 "TOTAL:43,63%"
"DONA MADALENA MENDONÇA" "SÃO FELIPE DO OESTE" 302 3784 "SUPLENTE" "DEPUTADO ESTADUAL" 7.98 "TOTAL:65,45%"
"MAURÃO DE CARVALHO" "CASTANHEIRAS" 185 2306 "ELEITO POR QP" "DEPUTADO ESTADUAL" 8.02 "TOTAL:36,03%"
"MARIANA CARVALHO" "CEREJEIRAS" 823 10231 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.04 "TOTAL:52,09%"
"MARINHA RAUPP" "ALTO PARAÍSO" 761 9467 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.04 "TOTAL:57,52%"
"ANSELMO DE JESUS" "SÃO MIGUEL DO GUAPORÉ" 946 11715 "NÃO ELEITO" "DEPUTADO FEDERAL" 8.08 "TOTAL:53,29%"
"AMORIM" "MONTE NEGRO" 639 7903 "SUPLENTE" "DEPUTADO FEDERAL" 8.09 "TOTAL:39,14%"
"MARCELINO TENORIO" "THEOBROMA" 500 6168 "ELEITO POR QP" "DEPUTADO ESTADUAL" 8.11 "TOTAL:50,89%"
"AMORIM" "MACHADINHO DO OESTE" 1415 17362 "SUPLENTE" "DEPUTADO FEDERAL" 8.15 "TOTAL:62,69%"
"CHICO PINHEIRO" "NOVA UNIÃO" 355 4307 "SUPLENTE" "DEPUTADO FEDERAL" 8.24 "TOTAL:63,4%"
"GUILHERME MOREIRA MENDES" "VALE DO ANARI" 398 4833 "SUPLENTE" "DEPUTADO FEDERAL" 8.24 "TOTAL:55,07%"
"LUIZINHO GOEBEL" "PIMENTEIRAS DO OESTE" 119 1444 "ELEITO POR QP" "DEPUTADO ESTADUAL" 8.24 "TOTAL:47,58%"
"EXPEDITO NETTO" "MONTE NEGRO" 652 7903 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 8.25 "TOTAL:39,14%"
"MARIANA CARVALHO" "GUAJARÁ-MIRIM" 1782 21598 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.25 "TOTAL:49,17%"
"ADRIANO BOIADEIRO" "SÃO MIGUEL DO GUAPORÉ" 970 11715 "SUPLENTE" "DEPUTADO ESTADUAL" 8.28 "TOTAL:48,26%"
"ANSELMO DE JESUS" "GOVERNADOR JORGE TEIXEIRA" 468 5651 "NÃO ELEITO" "DEPUTADO FEDERAL" 8.28 "TOTAL:54,48%"
"SAULO MOREIRA" "MACHADINHO DO OESTE" 1437 17362 "ELEITO POR QP" "DEPUTADO ESTADUAL" 8.28 "TOTAL:60,13%"
"MARCOS ROGERIO" "CUJUBIM" 655 7882 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.31 "TOTAL:44,52%"
"AMIR LANDO" "CEREJEIRAS" 857 10231 "SUPLENTE" "DEPUTADO FEDERAL" 8.38 "TOTAL:52,09%"
"VERA PAIXÃO" "VILHENA" 3555 42297 "SUPLENTE" "DEPUTADO FEDERAL" 8.4 "TOTAL:55,34%"
"ANSELMO DE JESUS" "JI-PARANÁ" 5496 65328 "NÃO ELEITO" "DEPUTADO FEDERAL" 8.41 "TOTAL:69,38%"
"EXPEDITO NETTO" "CASTANHEIRAS" 194 2306 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 8.41 "TOTAL:62,49%"
"NILTON CAPIXABA" "SÃO FRANCISCO DO GUAPORÉ" 709 8423 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.42 "TOTAL:60,39%"
"MARINHA RAUPP" "ITAPUÃ DO OESTE" 394 4671 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.44 "TOTAL:47,29%"
"LUIZINHO GOEBEL" "CASTANHEIRAS" 196 2306 "ELEITO POR QP" "DEPUTADO ESTADUAL" 8.5 "TOTAL:36,03%"
"GERALDO DA RONDONIA" "RIO CRESPO" 190 2232 "SUPLENTE" "DEPUTADO ESTADUAL" 8.51 "TOTAL:43,63%"
"MARCOS ROGERIO" "MIRANTE DA SERRA" 586 6874 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.52 "TOTAL:56,97%"
"ANSELMO DE JESUS" "SERINGUEIRAS" 599 6956 "NÃO ELEITO" "DEPUTADO FEDERAL" 8.61 "TOTAL:64,33%"
"LUCIO MOSQUINI" "SERINGUEIRAS" 601 6956 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.64 "TOTAL:64,33%"
"DONA MADALENA MENDONÇA" "PRIMAVERA DE RONDÔNIA" 189 2184 "SUPLENTE" "DEPUTADO ESTADUAL" 8.65 "TOTAL:77,7%"
"NILTON CAPIXABA" "RIO CRESPO" 194 2232 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.69 "TOTAL:58,24%"
"MARINHA RAUPP" "PIMENTA BUENO" 1697 19506 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.7 "TOTAL:60,48%"
"NILTON CAPIXABA" "NOVA BRASILÂNDIA DO OESTE" 974 11173 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.72 "TOTAL:60,07%"
"VANDERLEI GRAEBIN" "PIMENTEIRAS DO OESTE" 126 1444 "SUPLENTE" "DEPUTADO ESTADUAL" 8.73 "TOTAL:47,58%"
"MARCOS ROGERIO" "URUPÁ" 642 7345 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.74 "TOTAL:55,94%"
"MARINHA RAUPP" "GOVERNADOR JORGE TEIXEIRA" 494 5651 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.74 "TOTAL:54,48%"
"VALDECY ASSUNÇÃO" "ALTA FLORESTA DO OESTE" 1223 13945 "SUPLENTE" "DEPUTADO ESTADUAL" 8.77 "TOTAL:58,21%"
"LUIZ CLAUDIO" "COLORADO DO OESTE" 950 10811 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.79 "TOTAL:46,65%"
"EZEQUIEL NEIVA" "CABIXI" 336 3817 "SUPLENTE" "DEPUTADO ESTADUAL" 8.8 "TOTAL:56,95%"
"LUIZ DA FARMACIA" "NOVA BRASILÂNDIA DO OESTE" 986 11173 "SUPLENTE" "DEPUTADO ESTADUAL" 8.82 "TOTAL:53,38%"
"SAULO MOREIRA" "VALE DO ANARI" 427 4833 "ELEITO POR QP" "DEPUTADO ESTADUAL" 8.84 "TOTAL:46,93%"
"CHIQUINHO" "VALE DO PARAÍSO" 455 5128 "SUPLENTE" "DEPUTADO ESTADUAL" 8.87 "TOTAL:61,39%"
"MARINHA RAUPP" "CEREJEIRAS" 907 10231 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.87 "TOTAL:52,09%"
"LUCIO MOSQUINI" "ALVORADA DO OESTE" 830 9347 "ELEITO POR QP" "DEPUTADO FEDERAL" 8.88 "TOTAL:56,91%"
"ANSELMO DE JESUS" "NOVO HORIZONTE DO OESTE" 528 5921 "NÃO ELEITO" "DEPUTADO FEDERAL" 8.92 "TOTAL:65,68%"
"LUIZINHO GOEBEL" "ALVORADA DO OESTE" 837 9347 "ELEITO POR QP" "DEPUTADO ESTADUAL" 8.95 "TOTAL:63,02%"
"ADELINO FOLLADOR" "RIO CRESPO" 200 2232 "ELEITO POR QP" "DEPUTADO ESTADUAL" 8.96 "TOTAL:43,63%"
"JEAN OLIVEIRA" "CABIXI" 343 3817 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 8.99 "TOTAL:56,95%"
"BRITO" "PARECIS" 230 2554 "SUPLENTE" "DEPUTADO ESTADUAL" 9.01 "TOTAL:58,04%"
"CHIQUINHO" "CORUMBIARA" 425 4711 "SUPLENTE" "DEPUTADO ESTADUAL" 9.02 "TOTAL:50,33%"
"GLAUCIONE" "COSTA MARQUES" 595 6519 "ELEITO POR QP" "DEPUTADO ESTADUAL" 9.13 "TOTAL:64,34%"
"EUCLIDES MACIEL" "JI-PARANÁ" 5985 65328 "SUPLENTE" "DEPUTADO ESTADUAL" 9.16 "TOTAL:41,09%"
"ADRIANO BOMBEIRO" "ROLIM DE MOURA" 2619 28425 "SUPLENTE" "DEPUTADO ESTADUAL" 9.21 "TOTAL:33,34%"
"DELEGADO THIAGO FLORES" "MONTE NEGRO" 728 7903 "SUPLENTE" "DEPUTADO FEDERAL" 9.21 "TOTAL:39,14%"
"ANSELMO DE JESUS" "CORUMBIARA" 438 4711 "NÃO ELEITO" "DEPUTADO FEDERAL" 9.3 "TOTAL:55,32%"
"ANSELMO DE JESUS" "ALVORADA DO OESTE" 871 9347 "NÃO ELEITO" "DEPUTADO FEDERAL" 9.32 "TOTAL:56,91%"
"MARINHA RAUPP" "NOVA MAMORÉ" 1247 13386 "ELEITO POR QP" "DEPUTADO FEDERAL" 9.32 "TOTAL:59,05%"
"EDSON MARTINS" "TEIXEIRÓPOLIS" 301 3212 "ELEITO POR QP" "DEPUTADO ESTADUAL" 9.37 "TOTAL:57,54%"
"MARINHA RAUPP" "PIMENTEIRAS DO OESTE" 136 1444 "ELEITO POR QP" "DEPUTADO FEDERAL" 9.42 "TOTAL:50,49%"
"CÁSSIA DO JOÃO DA MULETA" "VALE DO PARAÍSO" 486 5128 "SUPLENTE" "DEPUTADO ESTADUAL" 9.48 "TOTAL:61,39%"
"SAULO MOREIRA" "CAMPO NOVO DE RONDÔNIA" 603 6273 "ELEITO POR QP" "DEPUTADO ESTADUAL" 9.61 "TOTAL:49,28%"
"HERMÍNIO COELHO" "PRIMAVERA DE RONDÔNIA" 210 2184 "ELEITO POR QP" "DEPUTADO ESTADUAL" 9.62 "TOTAL:77,7%"
"FLAVIO CORREA" "GOVERNADOR JORGE TEIXEIRA" 551 5651 "SUPLENTE" "DEPUTADO ESTADUAL" 9.75 "TOTAL:46,66%"
"MARINHA RAUPP" "CABIXI" 372 3817 "ELEITO POR QP" "DEPUTADO FEDERAL" 9.75 "TOTAL:48,61%"
"MAURÃO DE CARVALHO" "NOVA BRASILÂNDIA DO OESTE" 1096 11173 "ELEITO POR QP" "DEPUTADO ESTADUAL" 9.81 "TOTAL:53,38%"
"GEOVANE" "VALE DO PARAÍSO" 506 5128 "SUPLENTE" "DEPUTADO ESTADUAL" 9.87 "TOTAL:61,39%"
"MARILEY NOVAKI" "COLORADO DO OESTE" 1067 10811 "SUPLENTE" "DEPUTADO ESTADUAL" 9.87 "TOTAL:63,31%"
"NILTON CAPIXABA" "PARECIS" 253 2554 "ELEITO POR QP" "DEPUTADO FEDERAL" 9.91 "TOTAL:57,36%"
"NETINHO" "GUAJARÁ-MIRIM" 2157 21598 "SUPLENTE" "DEPUTADO ESTADUAL" 9.99 "TOTAL:58,21%"
"JEAN OLIVEIRA" "NOVO HORIZONTE DO OESTE" 596 5921 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 10.07 "TOTAL:36,97%"
"ANA DA 8" "NOVA MAMORÉ" 1349 13386 "SUPLENTE" "DEPUTADO ESTADUAL" 10.08 "TOTAL:46,71%"
"AECIO" "PIMENTA BUENO" 1974 19506 "SUPLENTE" "DEPUTADO FEDERAL" 10.12 "TOTAL:60,48%"
"MARINHA RAUPP" "CUJUBIM" 800 7882 "ELEITO POR QP" "DEPUTADO FEDERAL" 10.15 "TOTAL:44,52%"
"MARCOS ROGERIO" "VALE DO ANARI" 492 4833 "ELEITO POR QP" "DEPUTADO FEDERAL" 10.18 "TOTAL:55,07%"
"SCHEILLA CASSOL" "PRIMAVERA DE RONDÔNIA" 224 2184 "SUPLENTE" "DEPUTADO FEDERAL" 10.26 "TOTAL:56,78%"
"LUIZ CLAUDIO" "NOVA BRASILÂNDIA DO OESTE" 1154 11173 "ELEITO POR QP" "DEPUTADO FEDERAL" 10.33 "TOTAL:60,07%"
"MARCOS ROGERIO" "SÃO MIGUEL DO GUAPORÉ" 1210 11715 "ELEITO POR QP" "DEPUTADO FEDERAL" 10.33 "TOTAL:53,29%"
"LUIZ CLAUDIO" "CACAULÂNDIA" 343 3297 "ELEITO POR QP" "DEPUTADO FEDERAL" 10.4 "TOTAL:36,3%"
"MARCOS ROGERIO" "ALVORADA DO OESTE" 977 9347 "ELEITO POR QP" "DEPUTADO FEDERAL" 10.45 "TOTAL:56,91%"
"SAULO MOREIRA" "ALTO PARAÍSO" 994 9467 "ELEITO POR QP" "DEPUTADO ESTADUAL" 10.5 "TOTAL:57,51%"
"MARINHA RAUPP" "BURITIS" 1876 17580 "ELEITO POR QP" "DEPUTADO FEDERAL" 10.67 "TOTAL:41,7%"
