"NOME_URNA_CANDIDATO" "NOME_MUNICIPIO" "TOTAL_VOTOS" "QTD_COMPARECIMENTO" "DESC_SIT_CAND_TOT" "DESCRICAO_CARGO" "PROP_VOT" "prop.total"
"GALENO" "RIACHO DA CRUZ" 21 2331 "ELEITO POR QP" "DEPUTADO ESTADUAL" 0.9 "TOTAL:84,6%"
"RAFAEL MOTTA" "PORTALEGRE" 46 5089 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.9 "TOTAL:73,63%"
"JUBENICK" "PARAZINHO" 37 3902 "SUPLENTE" "DEPUTADO ESTADUAL" 0.95 "TOTAL:79,75%"
"ADRIANO GADELHA" "SERRA CAIADA" 59 6116 "SUPLENTE" "DEPUTADO FEDERAL" 0.96 "TOTAL:78,63%"
"FELIPE MAIA" "JOSÉ DA PENHA" 40 4159 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.96 "TOTAL:74,77%"
"SANDRA ROSADO" "TENENTE ANANIAS" 61 6333 "SUPLENTE" "DEPUTADO FEDERAL" 0.96 "TOTAL:80,44%"
"BETINHO ROSADO SEGUNDO" "MAJOR SALES" 22 2272 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.97 "TOTAL:82,22%"
"FAFA ROSADO" "PARANÁ" 27 2752 "SUPLENTE" "DEPUTADO FEDERAL" 0.98 "TOTAL:78,81%"
"FELIPE MAIA" "TABOLEIRO GRANDE" 20 2040 "ELEITO POR QP" "DEPUTADO FEDERAL" 0.98 "TOTAL:82,31%"
"ADRIANO GADELHA" "JOSÉ DA PENHA" 44 4159 "SUPLENTE" "DEPUTADO FEDERAL" 1.06 "TOTAL:74,77%"
"FABIO FARIA" "PILÕES" 29 2701 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.07 "TOTAL:83,71%"
"PROFESSOR LAVOUSIER" "SÃO MIGUEL" 141 13122 "SUPLENTE" "DEPUTADO ESTADUAL" 1.07 "TOTAL:83,62%"
"JÁCOME" "SERRA CAIADA" 66 6116 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.08 "TOTAL:78,63%"
"AMAZAN" "SERRA DE SÃO BENTO" 46 4191 "SUPLENTE" "DEPUTADO ESTADUAL" 1.1 "TOTAL:70,63%"
"ADÃO ERIDAN" "RUY BARBOSA" 34 3062 "SUPLENTE" "DEPUTADO ESTADUAL" 1.11 "TOTAL:78,28%"
"HERMANO MORAIS" "PEDRO AVELINO" 58 5163 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.12 "TOTAL:74,43%"
"JOÃO DE BEGUINHO" "JOÃO DIAS" 23 2050 "SUPLENTE" "DEPUTADO ESTADUAL" 1.12 "TOTAL:73,65%"
"JÁCOME" "JOÃO DIAS" 24 2050 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.17 "TOTAL:75,37%"
"CARLOS AUGUSTO MAIA" "SÃO FRANCISCO DO OESTE" 35 2917 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.2 "TOTAL:81,18%"
"JÁCOME" "PORTALEGRE" 61 5089 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.2 "TOTAL:73,63%"
"CARLOS AUGUSTO MAIA" "TABOLEIRO GRANDE" 25 2040 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.23 "TOTAL:85%"
"FABIO FARIA" "ÁGUA NOVA" 25 2006 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.25 "TOTAL:75,1%"
"FELIPE MAIA" "ÁGUA NOVA" 25 2006 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.25 "TOTAL:75,1%"
"ALBERT DICKSON OFTALMOLOGISTA" "SÃO TOMÉ" 95 7455 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.27 "TOTAL:68,47%"
"ROGERIO MARINHO" "SANTANA DO SERIDÓ" 25 1954 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.28 "TOTAL:78,71%"
"ABRAÃO LINCOLN" "SERRA DE SÃO BENTO" 54 4191 "SUPLENTE" "DEPUTADO FEDERAL" 1.29 "TOTAL:76,98%"
"GETULIO REGO" "PILÕES" 35 2701 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.3 "TOTAL:83,28%"
"ALBERT DICKSON OFTALMOLOGISTA" "RUY BARBOSA" 40 3062 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.31 "TOTAL:78,28%"
"ALDO TORQUATO" "PARAZINHO" 51 3902 "SUPLENTE" "DEPUTADO FEDERAL" 1.31 "TOTAL:82,11%"
"EMANUEL MARQUES" "SANTANA DO SERIDÓ" 26 1954 "SUPLENTE" "DEPUTADO FEDERAL" 1.33 "TOTAL:78,71%"
"JÁCOME" "SERRA DE SÃO BENTO" 56 4191 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.34 "TOTAL:76,98%"
"JÁCOME" "VÁRZEA" 54 4022 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.34 "TOTAL:72,67%"
"ADRIANO GADELHA" "MONTANHAS" 93 6900 "SUPLENTE" "DEPUTADO FEDERAL" 1.35 "TOTAL:76,46%"
"BETINHO ROSADO SEGUNDO" "VIÇOSA" 18 1332 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.35 "TOTAL:73,79%"
"BISPO FRANCISCO DE ASSIS" "GOIANINHA" 210 15528 "SUPLENTE" "DEPUTADO ESTADUAL" 1.35 "TOTAL:78,1%"
"DRA, HELENEIDE AMORIM" "VIÇOSA" 18 1332 "SUPLENTE" "DEPUTADO FEDERAL" 1.35 "TOTAL:73,79%"
"ERALDO" "ÁGUA NOVA" 27 2006 "SUPLENTE" "DEPUTADO FEDERAL" 1.35 "TOTAL:75,1%"
"FABIO FARIA" "JOÃO DIAS" 28 2050 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.37 "TOTAL:75,37%"
"DRA ZENAIDE MAIA" "SÃO MIGUEL" 181 13122 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.38 "TOTAL:64,24%"
"RAIMUNDO FERNANDES" "TENENTE ANANIAS" 89 6333 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.41 "TOTAL:76,67%"
"RICARDO MOTTA" "SÃO BENTO DO TRAIRÍ" 45 3127 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.44 "TOTAL:78,2%"
"ABRAÃO LINCOLN" "JOÃO DIAS" 30 2050 "SUPLENTE" "DEPUTADO FEDERAL" 1.46 "TOTAL:75,37%"
"JÁCOME" "CORONEL JOÃO PESSOA" 43 2933 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.47 "TOTAL:72,59%"
"ERIVAN DE SEU ELINO" "BARCELONA" 52 3495 "SUPLENTE" "DEPUTADO ESTADUAL" 1.49 "TOTAL:73,82%"
"JÁCOME" "PEDRA PRETA" 38 2552 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.49 "TOTAL:81,42%"
"JÁCOME" "DOUTOR SEVERIANO" 63 4216 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.49 "TOTAL:71,54%"
"CRISTIANE DANTAS" "SANTA CRUZ" 317 20900 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.52 "TOTAL:71,15%"
"ADRIANO GADELHA" "LUÍS GOMES" 90 5795 "SUPLENTE" "DEPUTADO FEDERAL" 1.55 "TOTAL:81,05%"
"JOSE ADECIO" "AREIA BRANCA" 260 16546 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.57 "TOTAL:75,35%"
"AMAZAN" "SANTA CRUZ" 330 20900 "SUPLENTE" "DEPUTADO ESTADUAL" 1.58 "TOTAL:71,15%"
"JÁCOME" "SANTANA DO SERIDÓ" 31 1954 "ELEITO POR MÉDIA" "DEPUTADO FEDERAL" 1.59 "TOTAL:78,71%"
"ROGERIO MARINHO" "TIBAU DO SUL" 133 8343 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.59 "TOTAL:66,95%"
"ADRIANO GADELHA" "ÁGUA NOVA" 32 2006 "SUPLENTE" "DEPUTADO FEDERAL" 1.6 "TOTAL:75,1%"
"ALVARO DIAS" "CURRAIS NOVOS" 411 24912 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.65 "TOTAL:59,44%"
"NELTER QUEIROZ" "CURRAIS NOVOS" 412 24912 "ELEITO POR QP" "DEPUTADO ESTADUAL" 1.65 "TOTAL:59,44%"
"WALTER ALVES" "LAGOA DE PEDRAS" 87 5266 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.65 "TOTAL:76,46%"
"ABRAÃO LINCOLN" "MARCELINO VIEIRA" 89 5298 "SUPLENTE" "DEPUTADO FEDERAL" 1.68 "TOTAL:76,66%"
"CARLOS AUGUSTO MAIA" "PAU DOS FERROS" 266 15857 "ELEITO POR MÉDIA" "DEPUTADO ESTADUAL" 1.68 "TOTAL:76,69%"
"FABIO FARIA" "LUCRÉCIA" 46 2745 "ELEITO POR QP" "DEPUTADO FEDERAL" 1.68 "TOTAL:77,41%"
